Reference,Habitat,Habitat2,Habitat_Type,Species,Species2,Response_Type_Communication-Behavior-Reproduction-Physiology,Song_Frequency_Low_Hz,Song_Frequency_High_Hz,Song_Loudness_low_dB,Song_Loudness_high_dB,Distance_meters_avg,Distance_meters,Independent_Variable_Standardized,Independent_Variable_more,Dependent_Variable,Dependent_Variable_Final,Sample_size_n, Effect size_numerical value,Mean,Standard_deviation,Standard_Error,High_Confidence_Interval,Low_Confidence_Interval (CI),R-square,t-value,Cohens d value_equations,"Effect Size Type - cohens_d
hedges_g
r
log_odds_ratio

or others....",Cohens d value
"Marques de Abreu L, Guerra V, Solé M. 2024. Ecology and Evolution, 14, e11261",Bromeliad-rich areas near highways and natural environments,Road,Urban,Phyllodytes luteolus (Yellow Heart-tongued Frog),,Communication,NA,3473,NA,71.1,1,0.5-1.5 m,Control and Environmental,Social Situation (With Chorus vs. Without Chorus),Visual signaling,Effect on Bird,38,-358.4,3473.3,NA,174.9,NA,NA,NA,NA,-716.8,E,-716.8
"BermÃºdez-Cuamatzin E, Slabbekoorn H, MacÃ­as GarcÃ­a C. 2023. Ibis 165, 571-596",Urban environments in Mexico City,Urban city,Urban,House Finch (Haemorhous mexicanus),Finch,Communication,2756,3755,NA,NA,1,1 m,Noise,Origin (quiet/noisy),Frequency,Song Frequency/Duration,21,-119.45,-119.45,NA,23.17,-164.98,-73.91,NA,-5.15,-238.9,Estimate,-238.9
"Ozkan K, Langley JM, Talbott JW, Kleist NJ, Francis CD. 2024. PeerJ 12:e18558",Rangelands and oak woodlands,Woodland,Rural,Western Bluebird (Sialia mexicana),Bluebird,Behavior,NA,NA,NA,NA,12.5,10-15 m from speaker to nest,Noise,Trial order,Song minimum frequency (Hz),Noise,24,-0.99,NA,NA,0.48,−1.95,−0.02,NA,NA,-14.03584786,Beta coefficient,-14.03584786
"Deoniziak K, Osiejuk TS. 2021. PLOS ONE. https://doi.org/10.1371/journal.pone.0257074",Urban green spaces and nonurban forests,Urban green spaces,Urban,Common Chiffchaff (Phylloscopus collybita),Chiffchaff,Communication,3000 ,6000 ,NA,NA,12.5,10-15 m,Mating,"Presence of other singing males, hour after sunrise",Frequency bandwidth,Song Frequency/Duration,61,-0.9879,NA,NA,2.7001,-6.280,4.304,NA,NA,-12.73951895,Model-averaged estimate,-12.73951895
"Bermúdez-Cuamatzin, Eira; Ríos-Chelén, Alejandro Ariel; Gil, Diego; Macías Garcia, Constantino. Behaviour 146, 1269-1286 (2009)",Urban environments in Mexico City,Urban city,Urban,House Finch (Carpodacus mexicanus),Finch,Communication,2221,5873,NA,NA,7.5,5-10 m distance between recorder and singing male,Noise,,A-song Bandwidth - Traffic,Song Frequency/Duration,13,-3.8,NA,NA,NA,NA,NA,NA,-3.8,-7.6,Paired t-test,-7.6
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Frequency,Song Frequency/Duration,29,-2.93,58,NA,NA,NA,NA,NA,NA,-5.86,F,-5.86
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western tanager,Tanager,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence (occupied vs unoccupied territory),Abundance,113,-0.88,NA,NA,0.36,-0.18,-1.59,NA,NA,-3.705468453,Beta coefficient,-3.705468453
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least flycatcher,Flycatcher,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence,Abundance,113,-0.84,NA,NA,0.22,-0.41,-1.27,NA,NA,-3.096281079,Beta coefficient,-3.096281079
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least flycatcher,Flycatcher,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Total grassland area (GRASSLAND_NEST),Abundance,113,-0.81,NA,NA,0.21,-0.41,-1.22,NA,NA,-2.762478627,Beta coefficient,-2.762478627
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-breasted nuthatch,Nuthatch,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Nocturnal noise intensity (NOISE_NEST),Abundance,113,-0.78,NA,NA,0.27,-0.25,-1.3,NA,NA,-2.492890811,Beta coefficient,-2.492890811
